Date, Round #, Hit % Baseline, 1st Serve %, 2nd Serve %, Service Games Played
2023-09-19, 1, 73, 55, 100, 4
2023-09-19, 2, 73, 56, 71, 7
2023-09-19, 3, 76, 54, 67, 5
2023-09-19, 4, 78, 53, 100, 6
2023-09-20, 1, 73, 56, 100, 6
2023-09-20, 2, 73, 46, 63, 3
2023-09-20, 3, 76, 50, 50, 2
2023-09-20, 4, 78, 50, 63, 2
2023-09-23, 1, 73, 52, 100, 7
2023-09-23, 2, 80, 56, 63, 4
2023-09-23, 3, 80, 36, 22, 4
2023-09-24, 1, 78, 55, 100, 4
2023-09-24, 2, 80, 50, 75, 2
2023-09-25, 1, 74, 68, 100, 6
2023-09-25, 2, 80, 50, 63, 3
2023-09-25, 3, 83, 56, 56, 2
2024-09-28, 1, 80, 50, 100, 4
2024-09-28, 2, 73, 60, 67, 3
2024-09-28, 3, 80, 75, 75, 4
2024-09-28, 4, 80, 70, 100, 4


